problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
น้ำท่วมสูง,น้ำท่วมสูงในอาคาร,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพออกจากอาคารเนื่องจากน้ำท่วมสูง,message_00021
น้ำท่วมสูง,น้ำขึ้นสูงโดยไม่มีฝน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอข้อมูลเกี่ยวกับน้ำท่วมสูงที่น้ำขึ้นสูงโดยไม่มีฝน,message_00025
น้ำท่วม,4 คน 1 แมว ติดอยู่ที่ 403 ถนนสาครมงคล2 ซอยที่2 น้ำใกล้ท่วมชั้นสอง ไม่มีเรือช่วย,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมใกล้ชั้นสองที่ 403 ถนนสาครมงคล2 ซอยที่2 มี 4 คนและ 1 แมวติดอยู่ ไม่มีเรือช่วย,message_00026
น้ำท่วม,น้ำท่วมในพื้นที่สุง,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมในพื้นที่สุง,message_00027
น้ำท่วมสูง,น้ำยังท่วมสูง อาหารกับยาใกล้จะหมด,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงและอาหารกับยาใกล้หมด,message_00030
น้ำสูง,คน 6 คน (5 คนแก่ 65 ปี) ติดอยู่ในอาคารสีฟ้าเทา รั้วพลวิทยาฝั่งอนุบาล เขต8 ขาดอาหาร 4 วัน น้ำสูงและเชี่ยว มีคนบาดเจ็บเลือดออก แบตหมด ไม่สามารถติดต่อได้,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำสูงและเชี่ยว ผู้ติดอยู่ในอาคารสีฟ้าเทา มีคน 6 คน (5 คนแก่ 65 ปี) ขาดอาหาร 4 วัน มีคนบาดเจ็บเลือดออก และแบตหมด ไม่สามารถติดต่อได้,message_00031
น้ำท่วม,ลูก 1 เดือนกับแม่ ยายและผู้ป่วยติดเตียงอยู่ชั้น 2 ไม่มีนมให้ลูก น้ำจะถึงชั้น 2,ไม่ได้ระบุ,เด็กแรกเกิด ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมถึงชั้น 2 มีลูก 1 เดือนกับแม่ ยายและผู้ป่วยติดเตียงอยู่ชั้น 2 ไม่มีนมให้ลูก,message_00032
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้สูงอายุ,มีผู้ป่วยอัมพาตครึ่งตัว ใส่เครื่องกระตุ้นหัวใจ อายุ 76,message_00033
สัตว์ติดบ้าน,แมว 4 ตัวติดอยู่ในบ้านชั้นเดียว ไม่มีคนอยู่ ประตูล็อกพัง,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเกี่ยวกับสัตว์ติดบ้าน (แมว 4 ตัว) ในบ้านชั้นเดียว ไม่มีคนอยู่ ประตูล็อกพัง,message_00035
ไม่ได้ระบุ,ไม่ได้ระบุ,อาหาร,ไม่ได้ระบุ,ผู้ร้องขออาหารสำหรับ 1 ท่าน,message_00036
น้ำท่วมชั้น 1,ติดอยู่ในบ้านชั้น 2-3 มีลูกกรงเหล็กทุกด้าน อาหารไม่พอ แบตหมดติดต่อไม่ได้ มี 4 คนรวมผู้สูงอายุ 2 คน อายุ 70-80 ปี โรคเบาหวานและสมองเสื่อม,ไม่ได้ระบุ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น 1 ติดอยู่ในบ้านชั้น 2-3 มีลูกกรงเหล็กทุกด้าน อาหารไม่พอ แบตหมดติดต่อไม่ได้ มี 4 คนรวมผู้สูงอายุ 2 คน อายุ 70-80 ปี โรคเบาหวานและสมองเสื่อม,message_00038
น้ำท่วมสูง,น้ำท่วมสูง มีผู้สูงอายุและเด็ก 10 คน กำลังจะขาดอาหาร,ไม่ได้ระบุ,ผู้สูงอายุ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง มีผู้สูงอายุและเด็ก 10 คน กำลังจะขาดอาหาร,message_00039
น้ำท่วมสูง,ไม่มีอาหาร มีผู้สูงอายุและเด็กเล็ก,ไม่ได้ระบุ,ผู้สูงอายุ เด็กเล็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและไม่มีอาหาร มีผู้สูงอายุและเด็กเล็ก,message_00040
ไม่ได้ระบุ,ติดอยู่ 4 วัน ไม่สามารถออกได้ เนื่องจากไม่มีไฟฟ้า,ช่วยเหลือ,ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือจากโรงแรมแกรนด์ พิงค์ เนื่องจากผู้สูงอายุ 3 คนติดอยู่ 4 วัน ไม่สามารถออกได้ เนื่องจากไม่มีไฟฟ้า,message_00041
น้ำท่วมสูง,มีผู้สูงอายุติดอยู่,เรือด่วน,ผู้สูงอายุ,ผู้ร้องขอเรือด่วนเนื่องจากน้ำท่วมสูงและมีผู้สูงอายุติดอยู่,message_00042
น้ำท่วม,ติดต่อไม่ได้มา 2 วันแล้ว น้ำท่วมน่าจะสูง,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและติดต่อไม่ได้มา 2 วัน,message_00043
น้ำบนชั้นสูง,รอการช่วยเหลือบนชั้นดาดฟ้า,อพยพ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำบนชั้นสูงรอการช่วยเหลือบนชั้นดาดฟ้า,message_00045
ไม่ได้ระบุ,อยู่บนหลังคา ไม่มีอาหาร ไม่มีน้ำ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากอยู่บนหลังคาโดยไม่มีอาหารและน้ำ,message_00046
น้ำท่วม,น้ำท่วมสูงถึงชั้น 2 มีเด็ก 2 คน ผู้สูงอายุ 2 คน ไม่ได้กินข้าว 3 วัน,ไม่ได้ระบุ,เด็ก ผู้สูงอายุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงถึงชั้น 2 มีเด็ก 2 คนและผู้สูงอายุ 2 คน ไม่ได้กินข้าวมา 3 วัน,message_00047
น้ำท่วมสูง,ไม่ได้กินข้าว 3 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและไม่ได้กินข้าว 3 วัน,message_00048
ไม่ได้ระบุ,ต้องการน้ำอาหารเร่งด่วน มีเด็กและคนแก่ 6 คน,น้ำและอาหาร,เด็ก คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากต้องการน้ำและอาหารเร่งด่วน มีเด็กและคนแก่รวม 6 คน,message_00049
ไม่ได้ระบุ,ติดกันที่ PS Mansion คลองเตย 3 1 คลองหงส์ หาดใหญ่ มีมากกว่า30คน รวมเด็ก คนป่วย คนแก่ ไม่สามารถออกไปได้ เรือไม่ถึง ไม่ได้กินข้าวตั้งแต่เมื่อวาน,ไม่ได้ระบุ,เด็ก คนป่วย คนแก่,ผู้ร้องขอความช่วยเหลือที่ PS Mansion คลองเตย 3 1 คลองหงส์ หาดใหญ่ มีมากกว่า30คน รวมเด็ก คนป่วย คนแก่ ไม่สามารถออกไปได้ เรือไม่ถึง ไม่ได้กินข้าวตั้งแต่เมื่อวาน,message_00050
น้ำขึ้นชั้น 2,น้ำท่วมถึงชั้น 2 ไม่มีอาหารและน้ำดื่ม พบศพคนตาย,ไม่ได้ระบุ,คนท้อง คนแก่ เด็ก,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมถึงชั้น 2 มีคนท้อง คนแก่ และเด็ก ไม่มีอาหารและน้ำดื่ม พบศพคนตาย,message_00051
น้ำขึ้นชั้น 2,น้ำขึ้นชั้น 2 บ้านติดคลอง มีผู้สูงอายุ 3 คนและแมว 2 ตัว ติดอยู่ในบ้าน ไม่มีอาหารและน้ำ,อพยพ,ผู้สูงอายุ,ผู้ร้องขออพยพด่วนเนื่องจากน้ำขึ้นชั้น 2 บ้านติดคลอง มีผู้สูงอายุ 3 คนและแมว 2 ตัว ติดอยู่ในบ้าน ไม่มีอาหารและน้ำ,message_00052
น้ำท่วมสูง,น้ำท่วมสูง ไม่ได้ทานอะไรมาหลายวันแล้ว ติดต่อไม่ใด้เลย,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและขาดอาหารหลายวัน พร้อมทั้งไม่สามารถติดต่อได้,message_00053
น้ำท่วมสูงชั้น2,ไม่มีอาหาร ติดต่อไม่ได้มา 4 วันแล้ว,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงชั้น2 และไม่มีอาหาร ติดต่อล้มเหลวมา 4 วันแล้ว,message_00054
ไม่ได้ระบุ,ติดต่อใครไม่ได้ ไม่มีการช่วยเหลือจากหน่วยงาน ไม่ได้กินข้าวตั้งแต่เมื่อวาน มีมากกว่า30คน รวมเด็ก คนป่วย คนแก่ เรือเข้ามาไม่ถึงออกไปก็ไม่ได้,ไม่ได้ระบุ,เด็ก คนป่วย คนแก่,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่สามารถติดต่อหน่วยงานได้ ไม่ได้รับความช่วยเหลือ มีผู้ติดอยู่ที่ PS Mansion ของเตยสามทับหนึ่งคลองหงส์ หาดใหญ่ มีมากกว่า 30 คน รวมเด็ก คนป่วย คนแก่ และไม่สามารถออกจากพื้นที่ด้วยเรือ,message_00055
น้ำสูง,น้ำสูงมาก ไม่มีสัญญาณ,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำสูงมากที่ถนนคึกฤทธิ์ ซอย 10 และไม่มีสัญญาณ,message_00082
ไม่ได้ระบุ,พ่อแม่ติดอยู่ในบ้าน 2 คน ขาดการติดต่อ 3-4 วัน ไม่ทราบสภาพ ข้าวยาหมด,ไม่ได้ระบุ,ผู้ใหญ่ ผู้ป่วย,ผู้ร้องขอความช่วยเหลือเกี่ยวกับพ่อแม่ติดอยู่ในบ้าน 2 คน ขาดการติดต่อ 3-4 วัน ไม่ทราบสภาพ ข้าวยาหมด,message_00083
น้ำท่วม,บ้านสองชั้น ท่วมถึงชั้น2 มี 16 คน รวมเด็ก 3 คน คนแก่ 1 คน,ไม่ได้ระบุ,เด็ก คนแก่,ผู้ร้องขอความช่วยเหลือจากบ้านสองชั้นที่ท่วมถึงชั้น2 มี 16 คน รวมเด็ก 3 คน คนแก่ 1 คน,message_00084
ไม่ได้ระบุ,ออกจากห้องไม่ได้ โทรศัพท์ไม่มีแบต อดอาหารมาหลายวัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่สามารถออกจากห้องได้ โทรศัพท์ไม่มีแบต และอดอาหารมาหลายวันอยู่ข้างหอวิทยาลัยพานิชหาดใหญ่,message_00085
น้ำจม,ชั้น 1น้ำจม ขาดการติดต่อ 3 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำจมชั้น 1ของยู ตึก เอื้ออาทร และขาดการติดต่อ 3 วัน,message_00088
น้ำท่วมสูง,น้ำท่วมสูง ไม่ได้กินข้าวมาหลายวัน มีเด็กเล็ก 1 คน คนทั้งหมด 7 คน,"อพยพ, เรือ",เด็กเล็ก,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูง มีเด็กเล็ก 1 คนและครัวเรือนรวม 7 คน ไม่ได้กินข้าวมาหลายวัน,message_00102
ขาดอาหาร,ติดอยู่ในบิ๊กซีเอ็กซ์ตร้าหาดใหญ่2 4 ผู้ใหญ่ 1 เด็ก ไม่ได้ทานอะไรมา 2 วัน,อพยพ,ชาวต่างชาติมาเลเซีย ผู้ใหญ่ เด็ก,ผู้ร้องขออพยพเนื่องจากขาดอาหารและติดอยู่ในบิ๊กซีเอ็กซ์ตร้าหาดใหญ่2 มีผู้ใหญ่ 4 คนและเด็ก 1 คน ไม่ได้ทานอะไรมา 2 วัน,message_00105
ไม่ได้ระบุ,ติดอยู่บนหลังคา มีเด็ก2ขวบ ผู้หญิง 2 ผู้ชาย 1 เสบียงหมด 2 วัน,"อพยพ, เรือ",เด็ก2ขวบ,ผู้ร้องขออพยพและเรือ เนื่องจากปัญหาอยู่บนหลังคา มีเด็ก2ขวบ ผู้หญิง 2 ผู้ชาย 1 เสบียงหมด 2 วัน,message_00113
ขาดน้ำ,"ไม่มีน้ำดื่ม, คนติดอยู่หลายคน, บ้านไม่มีสัญญาณ",น้ำดื่ม,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากขาดน้ำดื่มและคนติดอยู่หลายคนในบ้านที่ไม่มีสัญญาณ,message_00114
น้ำท่วมสูง,ติดอยู่ 4 วันแล้ว ไม่มีน้ำ อาหาร ไฟฟ้า,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือที่ PS รีสอร์ท หลังบิ๊กซีเอ็กซ์ตร้า เนื่องจากน้ำท่วมสูง ติดอยู่ 4 วันแล้ว ไม่มีน้ำ อาหาร ไฟฟ้า,message_00115
อาหารขาด,ต้องการอาหาร มีแม่ลูกอ่อนเด็กทารก ผู้ใหญ่ 6 คน ทารก 1 คน,อาหาร,เด็กทารก,ผู้ร้องขออาหารเนื่องจากมีแม่ลูกอ่อนเด็กทารก ผู้ใหญ่ 6 คน และทารก 1 คน,message_00116
ไม่ได้ระบุ,ไม่สามารถติดต่อได้ ต้องการอาหาร,อาหาร,ไม่ได้ระบุ,ผู้ร้องขออาหารและความช่วยเหลือเนื่องจากไม่สามารถติดต่อได้ในหอพัก คลองเตย ซอย 21,message_00118
น้ำท่วมสูง,น้ำท่วมสูง ขาดน้ำ ขาดอาหาร ไฟฟ้าดับ 3‑4 วัน แบตหมด,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ขาดน้ำ ขาดอาหาร ไฟฟ้าดับ 3‑4 วัน และแบตหมด,message_00120
น้ำขึ้นชั้น 2,ติดชั้น 2 ประมาณ 30 คน มีเด็กและผู้สูงอายุ,ไม่ได้ระบุ,เด็ก ผู้สูงอายุ,บ้านบางโหนด ม.1 ซอย9 ตา คูเต่า ประสบปัญหาน้ำขึ้นชั้น 2 ทำให้ติดอยู่ประมาณ 30 คน รวมเด็กและผู้สูงอายุ,message_00130
น้ำขึ้นชั้น 2,น้ำท่วมสูงจนถึงชั้นสอง ผู้สูงอายุ 10 คน ผู้ใหญ่ 30 คน ติดต่อล้มเหลว,อพยพ,ผู้สูงอายุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงจนถึงชั้นสอง มีผู้สูงอายุประมาณ 10 คนและผู้ใหญ่ประมาณ 30 คน ติดต่อล้มเหลว,message_00131
ไม่ได้ระบุ,ผู้ใหญ่ 61 ปีมีโรคประจำตัว ไม่ได้ทานยา 6 วัน ติดต่อไม่ได้ตั้งแต่ 24 พย,อพยพ,ผู้ใหญ่มีโรคประจำตัว,ผู้ร้องขออพยพเนื่องจากปัญหาไม่ได้ระบุและสถานการณ์ผู้ใหญ่ 61 ปีมีโรคประจำตัว ไม่ได้ทานยา 6 วัน ติดต่อไม่ได้ตั้งแต่ 24 พย,message_00134
น้ำท่วมสูง,น้ำท่วมสูง ขาดอาหารน้ำ,เสบียง แก๊สหุงต้ม,ไม่ได้ระบุ,ผู้ร้องขอเสบียงแก๊สหุงต้มเนื่องจากน้ำท่วมสูงและขาดอาหารน้ำในพื้นที่ประมาณ 100 คน,message_00138
น้ำขึ้นสูง,น้ำขึ้นสูงมาก กำลังจะไม่มีที่อยู่ น้ำอาหารหมด มีคนเก่าและผู้ป่วย,ไม่ได้ระบุ,คนเก่า ผู้ป่วย,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำขึ้นสูงมาก กำลังจะไม่มีที่อยู่ น้ำอาหารหมด มีคนเก่าและผู้ป่วย,message_00146
น้ำขึ้นชั้น 2,ติดอยู่ชั้น 2 น้ำขึ้นถึงชั้น 2 ครอบครัวติดต่อไม่ได้ 4 วัน,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพด้วยเรือเนื่องจากน้ำขึ้นถึงชั้น 2 ครอบครัว 2 คนติดอยู่ในบ้านเลขที่ 7 ถนน เพชรเกษม 38 ซอย 8 ตำบล ควนลัง อำเภอ หาดใหญ่ จังหวัดสงขลา ติดอยู่ชั้น 2 ตลอด 4 วัน,message_00161
น้ำขึ้นชั้น 2,น้ำถึงชั้น 2 ผู้ใหญ่ 1 คน เด็ก 2 คน อาหารหมด 1 วัน,ไม่ได้ระบุ,ผู้ใหญ่ เด็ก,ผู้แจ้งรายนี้ประสบน้ำท่วมสูงถึงชั้น 2 มีผู้ใหญ่ 1 คนและเด็ก 2 คน ขาดอาหารมา 1 วัน,message_00166
น้ำท่วมระดับหัว,น้ำท่วมระดับหัว มีอาหารและน้ำหมด มีเด็กเล็ก1 คน ชรา3 คน ผู้ใหญ่5 คน,อาหาร น้ำ อพยพ,เด็กเล็ก ชรา,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมระดับหัว มีอาหารและน้ำหมด รวมถึงเด็กเล็ก1 คน ชรา3 คน ผู้ใหญ่5 คน,message_00173
น้ำท่วมชั้น2,น้ำท่วมชั้น2 บ้านมีคนติดอยู่ 20 คน รวมเด็กเล็ก คนแก่ ผู้สูงอายุ,อพยพ,เด็กเล็ก คนแก่ ผู้สูงอายุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมชั้น2 บ้านมีคนติดอยู่ 20 คน รวมเด็กเล็ก คนแก่ ผู้สูงอายุ,message_00178
น้ำท่วมชั้น2,น้ำท่วมชั้น2 บ้านสีส้ม ผู้สูงอายุและผู้ป่วยติดบ้านต้องรับยาประจำ 2 คนโรคความดัน วัยรุ่นชาย 1 คน แมว 1 ตัว,ไม่ได้ระบุ,ผู้สูงอายุ ผู้ป่วย,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมชั้น2 บ้านสีส้ม มีผู้สูงอายุและผู้ป่วยติดบ้านต้องรับยาประจำ 2 คนโรคความดัน วัยรุ่นชาย 1 คน และแมว 1 ตัว,message_00179
น้ำท่วมสูง,น้ำท่วมสูง มีเด็ก 6 คน ผู้ใหญ่ 10 คน มีคนใกล้คลอด 1 คน,อพยพ,เด็ก ผู้ใหญ่ คนใกล้คลอด,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูง มีเด็ก 6 คน ผู้ใหญ่ 10 คน และคนใกล้คลอด 1 คน,message_00181
น้ำท่วม,น้ำท่วมสูงเข้าบ้านเกือบครึ่งชั้นของชั้น 1 ผู้ป่วยติดเตียงสภาพเจ้าชายไม่สามารถช่วยเหลือตัวเองได้ 1 คนกับผู้ดูแลผู้หญิง 1 คน มีอาการแพนิค และของใช้จำเป็นใกล้จะหมด,ไม่ได้ระบุ,ผู้ป่วยติดเตียง,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงเข้าบ้านเกือบครึ่งชั้น มีผู้ป่วยติดเตียงสภาพเจ้าชายและผู้ดูแลผู้หญิง 1 คน มีอาการแพนิค และของใช้จำเป็นใกล้หมด,message_00182
น้ำท่วม,น้ำท่วมสูงมิดชั้น 1 ติดต่อไม่ได้มา 3 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงมิดชั้น 1 และไม่สามารถติดต่อได้มา 3 วัน,message_00183
น้ำท่วมสูง,ติดอยู่ในบ้าน 2 คน ไม่ทราบว่ามีอาหารหรือไม่,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงทำให้ติดอยู่ในบ้าน 2 คน ไม่ทราบว่ามีอาหารหรือไม่,message_00184
น้ำท่วมสูง,น้ำท่วมสูง ผู้ 5 คน (ผู้สูงวัย 3) ไม่สามารถออกจากประเหล็กชั้นสาม ต้องตัดกุญแจ ชั้นสองออกได้แต่ไม่เห็นทาง,อพยพ,ผู้สูงวัย,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูง มีผู้ 5 คนรวมผู้สูงวัย 3 คน ไม่สามารถออกจากประเหล็กชั้นสาม ต้องตัดกุญแจ ชั้นสองออกได้แต่ไม่เห็นทาง,message_00190
น้ำท่วม,น้ำท่วมสูง 5 ขั้นถึงชั้นสอง บ้านเลขที่ 155 11 มีผู้หญิงท้อง 7 สัปดาห์ 37 ปี พร้อมสามีและแม่ 3 คนบนชั้น 2 ต้องการความช่วยเหลือ,อพยพ,ผู้หญิงท้อง,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูง 5 ขั้นถึงชั้นสอง บ้านเลขที่ 155 11 มีผู้หญิงท้อง 7 สัปดาห์ 37 ปี พร้อมสามีและแม่ 3 คนบนชั้น 2 ต้องการความช่วยเหลือ,message_00193
น้ำถึงหัวเข่า,น้ำถึงหัวเข่า เวลา 02:05 ในซอย7 กาญจนวณิชย์ หนาวคสงขลา อยู่ชั้น2,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำถึงหัวเข่าในซอย7 กาญจนวณิชย์ หนาวคสงขลา เวลา 02:05 และอยู่ชั้น2,message_00196
น้ำขึ้นชั้น 2,น้ำถึงชั้นสอง มีผู้หญิง 2 คน แมว 1 ตัว เพื่อนบ้านติดอยู่ ถนนไม่มีเรือช่วยเหลือ,อพยพ,ผู้หญิง,ผู้ร้องขออพยพเนื่องจากน้ำถึงชั้นสอง มีผู้หญิง 2 คน แมว 1 ตัว และเพื่อนบ้านติดอยู่ ถนนไม่มีเรือช่วยเหลือ,message_00198
น้ำขึ้นชั้น 2,น้ำท่วมสูงขึ้นชั้น 2,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงขึ้นชั้น 2 ในหมู่บ้านทุ่งรวงทอง,message_00200
น้ำท่วมถึงชั้น 2,น้ำท่วมถึงชั้น 2 ไม่มีอาหารและไม่มีการแจกอาหารจากหน่วยงาน,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมถึงชั้น 2 และขาดอาหารโดยไม่มีหน่วยงานแจกอาหาร,message_00205
